brand,description,price_usd,type
DÔEN,Amble Fair Isle knitted cardigan,400,clothing
KHAITE,Maria off-the-shoulder ribbed-knit sweater,1280,clothing
ALLUDE,Cashmere hoodie and track pants set,1290,clothing
ALAÏA,Archetypes pointelle-knit mini dress,3180,clothing
DÔEN,Nuage cable-knit alpaca and merino wool-blend sweater,500,clothing
SALONI,Rita ruffled printed silk-crepe maxi dress,895,clothing
THE ELDER STATESMAN,Cashmere turtleneck sweater,1495,clothing
ZIMMERMANN,+ NET SUSTAIN Alight belted printed organic silk midi dress,1100,clothing
SAFIYAA,Ginevra cape-effect embellished stretch-crepe gown,3320,clothing
WAIMARI,+ NET SUSTAIN Mar De Plata guipure lace-trimmed poplin mini dress,450,clothing
CHLOÉ,Embellished wool-blend jacket,2550,clothing
DRIES VAN NOTEN,Oversized double-breasted wool jacket,1515,clothing
SAFIYAA,Ginevra cape-effect embellished stretch-crepe gown,1970,clothing
FUSALP,Clea Sixties faux fur-trimmed printed padded ski jacket,2000,clothing
KHAITE,Maria off-the-shoulder metallic ribbed-knit sweater,1280,clothing
LULULEMON,Cross Chill RepelShell™ hooded jacket,228,clothing
CLIO PEPPIATT,Embellished stretch-mesh mini dress,1705,clothing
LOEWE,Intarsia wool-blend sweater,1600,clothing
AGOLDE,'90s Pinch Waist Long high-rise straight-leg organic jeans,240,clothing
AGOLDE,90's Pinch Long high-rise straight-leg jeans,230,clothing
BRUNELLO CUCINELLI,Sequin-embellished Fair Isle cashmere sweater,5500,clothing
TOTEME,+ NET SUSTAIN draped fringed wool-blend jacket,1130,clothing
FUSALP,Elancia II B ski pants,900,clothing
&DAUGHTER,+ NET SUSTAIN Fintra Crop wool turtleneck sweater,540,clothing
RALPH LAUREN COLLECTION,Gatlin silk-satin trimmed wool and silk-blend coat,3990,clothing
OSCAR DE LA RENTA,Camellia appliquéd wool-blend crepe midi dress,4290,clothing
FUSALP,Clea belted faux fur-trimmed softshell and stretch-jersey ski jacket,2000,clothing
KHAITE,Abigail cropped high-rise straight-leg jeans,480,clothing
THE ROW,Myriam double-breasted wool-twill blazer,3190,clothing
OSCAR DE LA RENTA,Camellia cape-effect appliquéd tulle-trimmed stretch-silk gown,5690,clothing
LA DOUBLEJ,Oscar tiered metallic jacquard skirt,870,clothing
FUSALP,Giulia two-tone quilted padded ski jacket,1040,clothing
LESET,Zoe knitted cardigan,750,clothing
CHLOÉ,Satin-trimmed wool-crepe straight-leg pants,1990,clothing
LA LIGNE,Charlotte tie-detailed silk-chiffon and satin midi dress,550,clothing
FRAME,Double-breasted crepe blazer,800,clothing
OSCAR DE LA RENTA,Fringed silk-crepe gown,4990,clothing
FUSALP,Vela faux fur-trimmed belted quilted down ski jacket,2090,clothing
SAFIYAA,Omi strapless cape-effect faille-trimmed stretch-crepe jumpsuit,2795,clothing
LORO PIANA,Kalgoorlie cashmere and silk-blend jacquard cardigan,2600,clothing
FAITHFULL THE BRAND,+ NET SUSTAIN Nahna linen maxi dress,319,clothing
ZIMMERMANN,August asymmetric lace-trimmed paisley-print silk midi dress,1350,clothing
SKIMS,Soft Lounge Rib Long Slip - Onyx,78,clothing
CHLOÉ,+ NET SUSTAIN recycled cashmere and wool-blend cardigan,2100,clothing
RALPH LAUREN COLLECTION,Niles strapless bow-embellished velvet gown,3490,clothing
LULULEMON,"Align high-rise leggings - 25""",98,clothing
FRAME,Le High Flare cotton-blend velvet pants,300,clothing
ISABEL MARANT,Albini gathered printed silk-blend midi dress,1390,clothing
LA DOUBLEJ,Ascot pussy-bow printed silk crepe de chine shirt,790,clothing
FALKE ERGONOMIC SPORT SYSTEM,Printed stretch-jersey top,110,clothing
ISABEL MARANT,Albini asymmetric printed silk-crepe dress,1390,clothing
ANDREW GN,Crystal-embellished crepe turtleneck mini dress,2810,clothing
ALAÏA,Archetypes draped stretch-mesh midi dress,2430,clothing
BRUNELLO CUCINELLI,"Wool, cashmere and silk-blend jacquard sweater",3750,clothing
CITIZENS OF HUMANITY,Ayla Baggy Tuxedo high-rise wide-leg two-tone organic jeans,380,clothing
MUGLER,Printed mid-rise flared jeans,930,clothing
ALAÏA,Archetypes ribbed pointelle-knit mini dress,3180,clothing
FAITHFULL THE BRAND,+ NET SUSTAIN Isotta linen straight-leg pants,239,clothing
AGOLDE,Hilla distressed organic denim maxi skirt,240,clothing
GABRIELA HEARST,Gertrude off-the-shoulder belted cashmere and silk-blend bouclé maxi dress,4990,clothing
LOEWE,Wool-blend jacquard sweater,1300,clothing
MACKAGE,Glory hooded leather trench coat,3990,clothing
JACQUEMUS,Off-the-shoulder embellished stretch-velour mini dress,1590,clothing
MOTHER,+ NET SUSTAIN The Tomcat high-rise straight leg jeans,230,clothing
CLIO PEPPIATT,Lucina embellished stretch-mesh mini dress,2335,clothing
AGOLDE,Freya high-rise slim-leg organic jeans,220,clothing
RIXO,Samantha sequined crepe mini dress,445,clothing
FALKE ERGONOMIC SPORT SYSTEM,Troyer wool and cashmere-blend sweater,330,clothing
OSCAR DE LA RENTA,Fringed bead-embellished silk-blend crepe gown,4990,clothing
CHLOÉ,Embellished leather jacket,4790,clothing
